Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
-48.63045,-51.96304,-94.38245,-89.81228,-70.46098,-70.61668,-69.91994,-78.47929,5.492044687,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.129383886,1.329383886
-47.8267,-51.00971,-84.89895,-92.92309,-79.01898,-69.94118,-69.49918,-77.00591,5.544678926,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.142417062,1.342417062
-46.80713,-49.92299,-81.97472,-85.62395,-67.69389,-64.40518,-69.53775,-74.71421,5.596937895,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.155450237,1.355450237
-45.80611,-49.03494,-80.63757,-80.09775,-63.40022,-61.51923,-69.4782,-73.88504,5.649636269,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.168483412,1.368483412
-45.14458,-48.41561,-80.59479,-77.07988,-61.64604,-60.34903,-69.1396,-73.23705,5.701850176,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.181516588,1.381516588
-44.7626,-48.11652,-82.52753,-75.6646,-61.75449,-60.72073,-69.43694,-74.0049,5.754587889,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.194549763,1.394549763
-44.82916,-48.26001,-85.76612,-75.65993,-63.16678,-62.62935,-69.58909,-75.12693,5.805689812,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.207582938,1.407582938
-45.26575,-48.76739,-94.87853,-77.00741,-66.66293,-66.74805,-69.74928,-75.31248,5.858165026,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.220616114,1.420616114
-45.94614,-49.55018,-95.55515,-80.14766,-70.93105,-75.46001,-69.76541,-75.67602,5.911315918,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.233649289,1.433649289
-46.83113,-50.46186,-89.78818,-88.46069,-68.66628,-70.95084,-68.9991,-75.87099,5.964005232,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.246682464,1.446682464
-47.83171,-51.47905,-86.42348,-94.15003,-64.88669,-66.62602,-68.06866,-76.83249,6.016538858,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.25971564,1.45971564
-48.95071,-52.63008,-85.90908,-83.29302,-63.77365,-65.80233,-68.13168,-79.48672,6.069997549,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.272748815,1.472748815
-50.20671,-54.11969,-85.52592,-79.68243,-64.12041,-66.72,-69.08936,-82.67554,6.122991085,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.285781991,1.485781991
-51.41441,-55.76348,-87.30414,-79.66863,-66.17636,-70.66397,-70.99678,-82.91714,6.176147223,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.298815166,1.498815166
