Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
106,-67.07158,-60.29918,-73.96049,-72.473,-74.57275,-77.96091,-81.86481,-79.71902,27.48075604,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.377690802,6.877690802
107,-66.46259,-59.10334,-72.06072,-71.03426,-80.91567,-90.15897,-81.1079,-75.39635,27.7401731,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.442270059,6.942270059
108,-69.0394,-57.7921,-72.88856,-69.57445,-74.80977,-83.77774,-79.40769,-75.42807,27.99958301,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.506849315,7.006849315
109,-63.97693,-58.9216,-72.35305,-71.6909,-75.86725,-75.94238,-76.25989,-73.31433,28.25967956,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.571428571,7.071428571
110,-65.83372,-57.63958,-72.11424,-68.98721,-72.19286,-75.82892,-74.24774,-76.14541,28.51745629,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.636007828,7.136007828
111,-65.33089,-57.13765,-75.68577,-69.73006,-76.01006,-76.87659,-84.14955,-78.65282,28.77748442,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.700587084,7.200587084
112,-60.54226,-56.89826,-75.20673,-70.88916,-80.20123,-77.90231,-78.12779,-80.36944,29.0374825,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.765166341,7.265166341
113,-65.04456,-56.02419,-76.80075,-69.56923,-76.74438,-74.06785,-74.1657,-73.77316,29.29412532,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.829745597,7.329745597
114,-61.14089,-53.78522,-68.46884,-69.49088,-72.88105,-70.5233,-82.16513,-76.91898,29.55227637,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.894324853,7.394324853
115,-56.99854,-53.14796,-68.07794,-68.77758,-73.99564,-72.52998,-72.10772,-77.30663,29.81027484,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.95890411,7.45890411
116,-56.63146,-55.86074,-68.37192,-69.25887,-75.78796,-74.59931,-83.13105,-79.32462,30.06884265,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,8.023483366,7.523483366
117,-59.62441,-57.92152,-69.6265,-72.34079,-71.90171,-76.13337,-81.76137,-72.75933,30.32703066,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,8.088062622,7.588062622
118,-60.66848,-60.36065,-72.72701,-72.38905,-72.50285,-76.50599,-81.70996,-75.62849,30.58651471,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,8.152641879,7.652641879
119,-62.04327,-56.95071,-71.55014,-72.24633,-78.17227,-77.11208,-76.36872,-75.35063,30.84756589,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,8.217221135,7.717221135
